inst,man.ph.mean,man.ph.n
101,7.5126582278481,0
102,8.37777777777778,0
103,7.67556756756757,558
104,7.70454545454546,0
105,7.46026630434783,39
106,7.6,0
107,,1070
108,8.05909090909091,0
201,7.93119753561802,0
202,7.38022851405623,0
203,7.45279187817259,0
204,7.69959731543624,24
205,7.411273482705,987
206,7.85158360503028,0
207,7.25056818181818,0
208,7.36080261400767,4310
209,7.53442629995703,0
210,5.80503144654088,0
211,6.74041310541311,156
212,8.13422222222222,0
213,7,0
301,8.675,0
302,8.5,27
304,8.36,0
305,7.16886956521739,0
214,7.32841538461539,727
303,6.79509185632026,652
